sp_id	gq_type	stcotrbg	persons	latitude	longitude
450007223	P	290718006012	79	38.4589172	-90.9917994
450018433	P	290718001003	7	38.4656653	-90.8911470
450018434	P	290718001003	5	38.4656653	-90.8911470
450018435	P	290718006012	17	38.4611095	-90.9877277
450028618	N	290718003005	104	38.5490601	-91.0153129
450028619	N	290718004014	88	38.6035210	-91.2205460
450028620	N	290718005001	28	38.4056310	-91.3219180
450028621	N	290718006014	49	38.4557500	-91.0163067
450028622	N	290718006014	47	38.4505040	-91.0115730
450028623	N	290718007014	54	38.4860860	-90.7386470
450028624	N	290718009024	80	38.3572190	-90.9790180
450028625	N	290718011021	31	38.2068180	-91.1800060
450028626	N	290718011021	31	38.2177510	-91.1667030
450035089	N	290718003001	82	38.5635598	-91.0337012
450035090	N	290718007014	51	38.4820200	-90.7477300
450035091	N	290718011021	28	38.2082810	-91.1798042
450045736	N	290718008003	25	38.3727196	-90.8043191
