sp_id	stcotrbg	hh_race	hh_income	latitude	longitude
114010683	290718001001	1	33590	38.5558486	-90.7580978
114010684	290718001001	1	52100	38.5828985	-90.7540330
114010685	290718001001	1	16900	38.5305067	-90.8535497
114010686	290718001001	1	110000	38.5847880	-90.7604046
114010687	290718001001	1	25200	38.5798731	-90.7613645
114010688	290718001001	1	50000	38.5263539	-90.8630087
114010689	290718001001	1	235000	38.5252174	-90.8586278
114010690	290718001001	1	11950	38.5484727	-90.8114115
114010691	290718001001	1	124000	38.5217673	-90.8775056
114010692	290718001001	1	81000	38.5486494	-90.7343750
114010693	290718001001	1	70130	38.5775769	-90.7619977
114010694	290718001001	1	45700	38.5298627	-90.7573866
114010695	290718001001	1	28000	38.5207953	-90.8872103
114010696	290718001001	1	45600	38.5198860	-90.8823519
114010697	290718001001	1	36730	38.5188926	-90.8754767
114010698	290718001001	1	90000	38.5185617	-90.8866879
114010699	290718001001	1	160000	38.5886799	-90.7541694
114010700	290718001001	1	58000	38.5296866	-90.8896559
114010701	290718001001	1	71561	38.5862576	-90.7545261
114010702	290718001001	1	85000	38.5244304	-90.8905334
114010703	290718001001	1	30000	38.5233705	-90.8769505
114010704	290718001001	1	29670	38.5230965	-90.8693850
114010705	290718001001	1	110000	38.5223848	-90.8757372
114010706	290718001001	1	46400	38.5228237	-90.8792525
114010707	290718001001	1	24000	38.5216195	-90.8761533
114010708	290718001001	1	99000	38.5209432	-90.8750743
114010709	290718001001	1	106000	38.5494005	-90.7717836
114010710	290718001001	1	84100	38.5496876	-90.7710207
114010711	290718001001	1	71900	38.5493074	-90.7698648
114010712	290718001001	1	64000	38.5495608	-90.7680305
114010713	290718001001	1	29830	38.5490928	-90.7672084
114010714	290718001001	1	84000	38.5495368	-90.7659245
114010715	290718001001	1	115000	38.5489759	-90.7716251
114010716	290718001001	1	122100	38.5486114	-90.7702303
114010717	290718001001	1	51200	38.5485885	-90.7696395
114010718	290718001001	1	27100	38.5483839	-90.7637341
114010719	290718001001	1	82000	38.5480368	-90.7625431
114010720	290718001001	1	118400	38.5479808	-90.7614344
114010721	290718001001	1	28230	38.5481599	-90.7718667
114010722	290718001001	1	79200	38.5480921	-90.7709593
114010723	290718001001	1	29670	38.5480401	-90.7698053
114010724	290718001001	1	55100	38.5479491	-90.7653331
114010725	290718001001	1	31900	38.5474647	-90.7644299
114010726	290718001001	1	61520	38.5472397	-90.7627429
114010727	290718001001	1	51100	38.5467653	-90.7719061
114010728	290718001001	1	122500	38.5465885	-90.7705277
114010729	290718001001	1	121000	38.5468097	-90.7698750
114010730	290718001001	1	28000	38.5462980	-90.7647779
114010731	290718001001	1	64000	38.5468587	-90.7642970
114010732	290718001001	1	119700	38.5461981	-90.7720841
114010733	290718001001	1	110000	38.5456592	-90.7713653
114010734	290718001001	1	30000	38.5462374	-90.7702308
114010735	290718001001	1	55250	38.5451559	-90.7678731
114010736	290718001001	1	99900	38.5443649	-90.7682881
114010737	290718001001	1	73000	38.5430771	-90.7699969
114010738	290718001001	1	107000	38.5529729	-90.7378935
114010739	290718001001	1	311000	38.5148333	-90.8848614
114010740	290718001001	1	30900	38.5796203	-90.7708604
114010741	290718001001	1	143900	38.5218825	-90.8904569
114010742	290718001001	1	100000	38.5771987	-90.7640588
114010743	290718001001	1	4200	38.5426629	-90.7770490
114010744	290718001001	1	29100	38.5409240	-90.7750165
114010745	290718001001	1	12700	38.5222833	-90.7610476
114010746	290718001001	1	25600	38.5293155	-90.8581322
114010747	290718001001	1	45000	38.5812965	-90.7654586
114010748	290718001001	1	1910	38.5801228	-90.7639083
114010749	290718001001	1	54600	38.5485961	-90.7685858
114010750	290718001001	1	113100	38.5480997	-90.7647078
114010751	290718001001	1	99760	38.5409901	-90.8547879
114010752	290718001001	1	36000	38.5399600	-90.8539187
114010753	290718001001	1	27600	38.5893223	-90.7525391
114010754	290718001001	1	52200	38.5805629	-90.7659431
114010755	290718001001	1	33200	38.5817262	-90.7674613
114010756	290718001001	1	29400	38.5641247	-90.7713259
114010757	290718001001	1	81440	38.5219720	-90.8821883
114010758	290718001001	1	42200	38.5773955	-90.7723950
114010759	290718001001	1	58200	38.5477407	-90.7659121
114010760	290718001001	1	111200	38.5461891	-90.7689458
114010761	290718001001	1	118000	38.5459416	-90.7658762
114010762	290718001001	1	176100	38.5448932	-90.7689335
114010763	290718001001	1	70000	38.5443412	-90.7697626
114010764	290718001001	1	9840	38.5271784	-90.8577949
114010765	290718001001	1	60500	38.5200030	-90.8832401
