sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
164094722	114018470	4	M	1	2	X	X
164094724	114018470	37	F	1	1	X	507976123
164098026	114033423	22	M	1	1	X	507975279
164098030	114018613	23	F	1	0	X	508175861
164098031	114018613	0	F	1	2	X	X
164098035	114032828	22	M	1	1	X	507976892
164098036	114032828	23	F	1	0	X	507952677
164098037	114032828	0	F	1	2	X	X
164159384	114035621	43	M	1	0	X	507952989
164159385	114035621	47	F	1	10	X	507973294
164159388	114043068	43	M	1	0	X	507939784
164159389	114043068	47	F	1	10	X	507975115
164159390	114047630	43	M	1	0	X	507979485
164159391	114047630	47	F	1	10	X	507967417
164159400	114018385	43	M	1	0	X	507975370
164159401	114018385	47	F	1	10	X	507952989
164159404	114023241	43	M	1	0	X	507976462
164159405	114023241	47	F	1	10	X	507976892
164159407	114043940	47	F	1	10	X	508184749
164159416	114037534	43	M	1	0	X	508169779
164169856	114010751	46	F	1	0	X	507977218
164169857	114010751	46	M	1	1	X	507945719
164169858	114045990	46	F	1	0	X	507945898
164169872	114040088	46	F	1	0	X	507917515
164169879	114038286	46	M	1	1	X	507970384
164169882	114013595	46	F	1	0	X	507910763
164169883	114013595	46	M	1	1	X	507913847
164169886	114040250	46	F	1	0	X	507974223
164169889	114032254	46	M	1	1	X	507922748
164169897	114035904	46	M	1	1	X	507973208
164169901	114013075	46	M	1	1	X	507965707
164169904	114022774	46	F	1	0	X	507978367
164169905	114022774	46	M	1	1	X	507976997
164169906	114024185	46	F	1	0	X	507905418
164169907	114024185	46	M	1	1	X	507930639
164181051	114011630	7	F	1	2	450081244	X
164181053	114011630	31	M	1	10	X	507973157
164181054	114011630	32	F	1	0	X	X
164181056	114031040	2	F	1	2	X	X
164181058	114031040	32	F	1	0	X	X
164181061	114018091	31	M	1	10	X	507975463
164181063	114013901	7	F	1	2	450123112	X
164181064	114013901	2	F	1	2	X	X
164181065	114013901	31	M	1	10	X	507977361
164181066	114013901	32	F	1	0	X	X
164181073	114041987	31	M	1	10	X	507928597
164181077	114019272	31	M	1	10	X	507978292
164181097	114044190	31	M	1	10	X	507974729
164181100	114031504	2	F	1	2	X	X
164181106	114035114	32	F	1	0	X	X
164181107	114016703	7	F	1	2	450115194	X
164181110	114016703	32	F	1	0	X	X
164181111	114026176	7	F	1	2	450125461	X
164181117	114036508	31	M	1	10	X	507972955
164181118	114036508	32	F	1	0	X	X
164181119	114043017	7	F	1	2	450120885	X
164181120	114043017	2	F	1	2	X	X
164181121	114043017	31	M	1	10	X	507975711
164181144	114029912	2	F	1	2	X	X
164181148	114027037	2	F	1	2	X	X
164181149	114027037	31	M	1	10	X	507977218
164181150	114027037	32	F	1	0	X	X
164181155	114013280	7	F	1	2	450113448	X
164181157	114013280	31	M	1	10	X	507977328
164181158	114013280	32	F	1	0	X	X
164181179	114036527	7	F	1	2	450081244	X
164181180	114036527	2	F	1	2	X	X
164181181	114036527	31	M	1	10	X	507942013
164181182	114036527	32	F	1	0	X	X
164181183	114017087	7	F	1	2	450113448	X
164181184	114017087	2	F	1	2	X	X
164181187	114020028	7	F	1	2	450123112	X
164181188	114020028	2	F	1	2	X	X
164181189	114020028	31	M	1	10	X	507975512
164181190	114020028	32	F	1	0	X	X
164181192	114025618	2	F	1	2	X	X
164181198	114035410	32	F	1	0	X	X
164181213	114032290	31	M	1	10	X	507973780
164181216	114021576	2	F	1	2	X	X
164181223	114029043	7	F	1	2	450115194	X
164181224	114029043	2	F	1	2	X	X
164181226	114029043	32	F	1	0	X	X
164181231	114033284	7	F	1	2	450113448	X
164181233	114033284	31	M	1	10	X	507975200
164181234	114033284	32	F	1	0	X	X
164181237	114020878	31	M	1	10	X	508191542
164181238	114020878	32	F	1	0	X	X
164181248	114032189	2	F	1	2	X	X
164181250	114032189	32	F	1	0	X	X
164181255	114046668	7	F	1	2	450120885	X
164181256	114046668	2	F	1	2	X	X
164181259	114020185	7	F	1	2	450114997	X
164181260	114020185	2	F	1	2	X	X
164181262	114020185	32	F	1	0	X	X
164181267	114020073	7	F	1	2	450123112	X
164181268	114020073	2	F	1	2	X	X
164181269	114020073	31	M	1	10	X	507966943
164181270	114020073	32	F	1	0	X	X
164181271	114030012	7	F	1	2	450114997	X
164181272	114030012	2	F	1	2	X	X
164181279	114039651	7	F	1	2	450152697	X
164181290	114028647	32	F	1	0	X	X
164181292	114012313	2	F	1	2	X	X
164181293	114012313	31	M	1	10	X	507976595
164181295	114022031	7	F	1	2	450143912	X
164181298	114022031	32	F	1	0	X	X
164181304	114039593	2	F	1	2	X	X
164181305	114039593	31	M	1	10	X	507975711
164181311	114029865	7	F	1	2	450114997	X
164181312	114029865	2	F	1	2	X	X
164181347	114021879	7	F	1	2	450143912	X
164181350	114021879	32	F	1	0	X	X
164181352	114031849	2	F	1	2	X	X
164181354	114031849	32	F	1	0	X	X
164181363	114020472	7	F	1	2	450114997	X
164181364	114020472	2	F	1	2	X	X
164181365	114020472	31	M	1	10	X	507976562
164303309	114013652	39	F	1	1	X	507973739
164303311	114013652	8	M	1	2	450115663	X
164303312	114013652	36	M	1	0	X	507978340
164303314	114029686	14	M	1	2	450114997	X
164303315	114029686	8	M	1	2	450114997	X
164303316	114029686	36	M	1	0	X	507976801
164303321	114043906	39	F	1	1	X	507975520
164303323	114043906	8	M	1	2	450113448	X
164303324	114043906	36	M	1	0	X	507976277
164303325	114040446	39	F	1	1	X	507974955
164303327	114040446	8	M	1	2	450144316	X
164303328	114040446	36	M	1	0	X	507969690
164303334	114030736	14	M	1	2	450114997	X
164303335	114030736	8	M	1	2	450113448	X
164303336	114030736	36	M	1	0	X	507976801
164303342	114011163	14	M	1	2	450081244	X
164366468	114023238	53	M	1	0	X	507979719
164366474	114028628	53	M	1	0	X	507976905
164366488	114012222	53	M	1	0	X	507953018
164366492	114044443	53	M	1	0	X	507907320
164366493	114044443	37	F	1	10	X	507941894
164366499	114018821	37	F	1	10	X	507977397
164366501	114032194	37	F	1	10	X	507974712
164366512	114039090	53	M	1	0	X	507971507
164393237	114018369	36	M	1	1	X	507977275
164393241	114018369	37	F	1	0	X	507973294
164393267	114016204	36	M	1	1	X	507976516
164393268	114016204	11	M	1	2	450114997	X
164393269	114016204	8	M	1	2	450115194	X
164393278	114026227	11	M	1	2	450125461	X
164393281	114026227	37	F	1	0	X	507943446
164393287	114022667	36	M	1	1	X	507976567
164393290	114022667	5	F	1	2	X	X
164393291	114022667	37	F	1	0	X	507976285
164512191	114025156	94	F	1	0	X	X
164524387	114025043	67	F	1	0	X	X
164524390	114029876	67	F	1	0	X	X
164524391	114037491	67	F	1	0	X	X
164524392	114028749	67	F	1	0	X	X
164524393	114018905	67	F	1	0	X	X
164524394	114015847	67	F	1	0	X	X
164524397	114024393	67	F	1	0	X	X
164524401	114023429	67	F	1	0	X	X
164524404	114024773	67	F	1	0	X	X
164570839	114019132	60	F	1	1	X	X
164570848	114041026	66	M	1	0	X	X
164570851	114039702	60	F	1	1	X	X
164570858	114011730	66	M	1	0	X	X
164570863	114042190	60	F	1	1	X	X
164570868	114023690	66	M	1	0	X	X
164570869	114029490	60	F	1	1	X	X
164570875	114038724	60	F	1	1	X	X
164570877	114014541	60	F	1	1	X	X
164570887	114035446	60	F	1	1	X	X
164606024	114010774	68	F	1	1	X	X
164606027	114023445	67	M	1	0	X	X
164606033	114036308	67	M	1	0	X	X
164606034	114029401	68	F	1	1	X	X
164606035	114029401	67	M	1	0	X	X
164606041	114041500	67	M	1	0	X	X
164606042	114032629	68	F	1	1	X	X
164606043	114032629	67	M	1	0	X	X
164622912	114016749	27	M	1	10	X	507976283
164622913	114016749	5	M	1	12	X	X
164622915	114016749	2	F	1	12	X	X
164622917	114018599	5	M	1	12	X	X
164622919	114018599	2	F	1	12	X	X
164622921	114033891	5	M	1	12	X	X
164622922	114033891	28	F	1	0	X	507965386
164622945	114034001	5	M	1	12	X	X
164622947	114034001	2	F	1	12	X	X
164622948	114033389	27	M	1	10	X	507975867
164622951	114033389	2	F	1	12	X	X
164622953	114048735	5	M	1	12	X	X
164622955	114048735	2	F	1	12	X	X
164622960	114015135	27	M	1	10	X	507977576
164622961	114015135	5	M	1	12	X	X
164622962	114015135	28	F	1	0	X	507974277
164622963	114015135	2	F	1	12	X	X
164622970	114048932	28	F	1	0	X	507943900
164622971	114048932	2	F	1	12	X	X
164622985	114033981	5	M	1	12	X	X
164622987	114033981	2	F	1	12	X	X
