sp_id	sp_gq_id	age	sex
939529051	450028677	90	F
939529050	450028677	74	F
939529049	450028677	92	F
939529048	450028677	84	F
939529047	450028677	87	F
939529046	450028677	90	F
940480677	450028677	66	M
940480676	450028677	83	M
940480675	450028677	97	M
940480674	450028677	66	M
940480673	450028677	98	M
940480672	450028677	72	M
940480671	450028677	89	M
940480670	450028677	83	M
940480669	450028677	88	M
940480668	450028677	89	M
940480667	450028677	87	M
940480666	450028677	75	M
940480665	450028677	86	M
940480664	450028677	77	M
940480663	450028677	68	M
940480662	450028677	83	M
940480661	450028677	85	M
940480660	450028677	78	M
940480659	450028677	86	M
940480658	450028677	65	M
940480657	450028677	78	M
940480656	450028677	84	M
940480655	450028677	91	M
940480654	450028677	84	M
940480653	450028677	95	M
940480652	450028677	77	M
940480651	450028677	76	M
940480650	450028677	83	M
940480649	450028677	78	M
940480648	450028677	78	M
940306324	450028677	58	M
940306325	450028677	52	M
940306326	450028677	57	M
939341716	450028677	59	F
939341717	450028677	50	F
939341718	450028677	59	F
939341719	450028677	59	F
939341720	450028677	58	F
939529151	450028677	77	F
939529150	450028677	90	F
939529149	450028677	81	F
939529148	450028677	73	F
939529147	450028677	79	F
939529146	450028677	68	F
939529145	450028677	86	F
939529144	450028677	93	F
939529143	450028677	88	F
939529142	450028677	89	F
939529141	450028677	95	F
939529140	450028677	98	F
939529139	450028677	83	F
939529138	450028677	82	F
939529137	450028677	80	F
939529136	450028677	74	F
939529135	450028677	80	F
939529134	450028677	88	F
939529133	450028677	89	F
939529132	450028677	85	F
939529131	450028677	82	F
939529130	450028677	82	F
939529129	450028677	91	F
939529128	450028677	86	F
939529127	450028677	96	F
939529125	450028677	91	F
939529126	450028677	91	F
939529124	450028677	96	F
939529123	450028677	98	F
939529122	450028677	70	F
939529121	450028677	94	F
939529120	450028677	93	F
939529119	450028677	100	F
939529118	450028677	90	F
939529117	450028677	78	F
939529116	450028677	88	F
939529115	450028677	88	F
939529114	450028677	89	F
939341721	450028677	49	F
939529113	450028677	92	F
939529112	450028677	92	F
939529111	450028677	84	F
939529110	450028677	75	F
939529109	450028677	79	F
939529108	450028677	78	F
