hosp_id	workers	physicians	beds	latitude	longitude
H032	1031	37	332	38.750551	-90.433729
H124	1232	44	397	38.651219	-90.503103
H008	211	8	68	38.676306	-90.467885
H106	472	17	152	38.52815	-90.476249
H129	978	35	315	38.633349	-90.310785
H022	1440	51	464	38.776145	-90.240374
H155	118	4	38	38.506365	-90.384808
H108	1915	68	617	38.506365	-90.384808
H113	1533	55	494	38.645403	-90.446423
H188	118	4	38	38.636415	-90.44641
H033	444	16	143	38.578052	-90.42563
H067	1142	41	368	38.636415	-90.44641
