county idcounty id	snf_id	worker_hours	nresid	beds	latitude	longitude	race_b	race_w	race_ns	sex_f	sex_m	avgage	dis	los
189	265001	2.94	110	282	38.627914	-90.510984	18.64	74.58	6.78	0.5359	0.4641	72.74	0.0714	40
189	265071	4.7	104	206	38.638579	-90.487102	7.58	85.61	6.81	0.6449	0.3551	84.16	0.3597	21
189	265105	3.33	230	321	38.639473	-90.498794	13.49	71.38	15.13	0.6071	0.3929	79.83	0.5556	29
189	265112	3.6	62	98	38.776296	-90.334763	70.53	25.79	3.68	0.5621	0.4379	76.34	0.5625	23
189	265120	2.37	123	240	38.800809	-90.345965	50.52	44.79	4.69	0.4556	0.5444	73.08	0	107
189	265121	3.2	79	99	38.66256	-90.543818	0	95.95	4.05	0.68	0.32	89.49	0.4872	23.5
189	265130	2.05	82	135	38.558282	-90.490792	0	89.54	10.46	0.5882	0.4118	74.26	0.6111	102
189	265136	3.2	82	94	38.5229	-90.40288	0	98.8	1.2	0.7344	0.2656	88.56	0.2	19
189	265140	4.2	79	174	38.494542	-90.611256	0	98.64	1.36	0.5873	0.4127	78.49	0.3947	31
189	265156	3.52	109	163	38.610615	-90.556072	7.41	88.36	4.23	0.405	0.595	80.2	0.2	20
189	265159	2.62	141	230	38.577942	-90.328188	5.35	86.42	8.23	0.7108	0.2892	86.71	0.5741	26
189	265170	2.09	162	204	38.647343	-90.532854	6.86	81.43	11.71	0.6013	0.3987	84.46	0.3889	23
189	265174	6.18	43	60	38.77483	-90.24632	65.74	34.26	0	0.6314	0.3686	80.16	0.375	23
189	265195	4.2	83	106	38.511916	-90.631422	0	99.34	0.66	0.6699	0.3301	86.21	0.4419	27
189	265236	1.83	76	120	38.74496	-90.429277	52.94	45.88	1.18	0.56	0.44	78.7	0.45	63
189	265310	3.05	113	149	38.481446	-90.390429	0	99.21	0.79	0.6723	0.3277	84.97	0.5844	21
189	265318	2.99	178	220	38.723548	-90.419707	23.24	74.62	2.14	0.6521	0.3479	82.03	0.4667	26
189	265325	3.04	163	199	38.792811	-90.2754	65.04	33.98	0.98	0.6283	0.3717	82.97	0.2857	23
189	265331	4.29	59	166	38.523742	-90.397694	0	92.14	7.86	0.4662	0.5338	71.11	0.5195	20.5
189	265338	3.19	80	159	38.666619	-90.535419	16.79	78.1	5.11	0.5943	0.4057	77.53	0.7073	23
189	265341	2.86	67	120	38.808843	-90.278456	87.3	11.91	0.79	0.3103	0.6897	74.32	0.5679	84
189	265343	2.93	101	124	38.665757	-90.452171	32.9	64.91	2.19	0.6191	0.3809	78.36	0.1667	21
189	265345	4.12	69	91	38.74785	-90.42775	37.86	39.49	22.65	0.5935	0.4065	74.21	0.5806	25
189	265352	3.21	49	137	38.591077	-90.528435	0	56	44	0.4444	0.5556	72.68	0.0833	120
189	265365	2.37	91	120	38.819421	-90.237013	82.08	0	17.92	0.5309	0.4691	72.96	0.3913	71
189	265402	1.55	65	120	38.819429	-90.319309	74.68	24.05	1.27	0.3864	0.6136	67.94	0.5222	25
189	265414	3.5	40	80	38.671132	-90.534285	6.83	91.43	1.74	0.6075	0.3925	86.05	0	22
189	265417	2.06	94	167	38.534044	-90.303586	1.99	97.65	0.36	0.5861	0.4139	84.62	0	21
189	265439	2.37	50	92	38.643821	-90.343155	52.99	45.66	1.35	0.5466	0.4534	76.48	0.6	22
189	265457	5.33	62	120	38.685746	-90.420665	36.84	41.23	21.93	0.5032	0.4968	70.82	0.6071	39
189	265486	1.84	167	223	38.728473	-90.434469	31.02	55.56	13.42	0.6433	0.3567	79.38	0.6418	37
189	265523	4.35	88	130	38.736137	-90.434195	35.92	63.83	0.25	0.5887	0.4113	74.52	0	30
189	265534	2.98	103	120	38.720774	-90.317266	42.5	56.25	1.25	0.5733	0.4266	59.04	0.543	100.5
189	265539	2.61	48	66	38.552306	-90.588092	0	78.87	21.13	0.6214	0.3786	70.98	0.3333	46
189	265586	3	51	120	38.779815	-90.251879	80	16.92	3.08	0.4118	0.5882	60.95	0.375	33.5
189	265600	4.68	112	138	38.601778	-90.331576	6.43	91.71	1.86	0.6561	0.3439	86.83	0.4074	19
189	265607	4.58	115	158	38.784975	-90.324991	59.51	25.85	14.64	0.4091	0.5909	62.49	0.4375	71
189	265627	1.3	26	36	38.66071	-90.545274	0	89.47	10.53	0.4894	0.5106	86.43	0.1905	22
189	265636	4.55	95	121	38.488218	-90.321479	0	97.92	2.08	0.6618	0.3382	86.71	0.5	19
189	265680	3.87	55	72	38.744837	-90.307102	0	0	100	0.5733	0.4266	68.16	0.3597	42
189	265703	4.78	154	188	38.524511	-90.333666	10.85	69.77	19.38	0.4255	0.5745	71.16	0.7174	26
189	265709	2.52	45	96	38.736957	-90.226196	75.34	23.29	1.37	0.4528	0.5472	70.62	0.6977	117
189	265711	3.52	125	153	38.50204	-90.460556	0	97.34	2.66	0.6809	0.3191	81.49	0.625	20
189	265719	2.91	81	115	38.717632	-90.297448	85.85	13.21	0.94	0.4556	0.5444	71.83	0.5111	35.5
189	265720	3.52	78	149	38.679766	-90.471211	34.78	60.87	4.35	0.5977	0.4023	70.11	0.6667	120
189	265732	3.52	58	72	38.711833	-90.388974	36.77	61.77	1.46	0.7391	0.2609	82.58	0.2667	29
189	265733	2.86	57	94	38.711507	-90.350421	51.16	46.51	2.33	0.579	0.421	76.02	0.5304	31.5
189	265735	3.52	45	67	38.784682	-90.225423	64.62	24.06	11.32	0.6885	0.3115	80.72	0.5476	30
189	265736	2.86	92	120	38.672479	-90.318363	85.29	0	14.71	0.6161	0.3839	75.01	0.25	120
189	265756	2.63	88	130	38.457329	-90.305991	0	98.22	1.78	0.6727	0.3273	82.31	0.3597	19
189	265757	2.79	67	116	38.803904	-90.350906	68.7	25.22	6.08	0.5939	0.4061	75.47	0.5849	30
189	265764	2.77	155	280	38.57246	-90.382259	18.65	80.89	0.46	0.6916	0.3084	80.92	0.608	21
189	265766	3.63	90	210	38.585792	-90.59531	0	98.02	1.98	0.623	0.377	85.11	0	19
189	265775	1.13	53	60	38.53339	-90.27509	0	89.83	10.17	0.5733	0.4266	78.32	0.5	120
189	265791	1.7	15	37	38.652899	-90.508508	2.39	85.29	12.32	0.6618	0.3382	86.8	0.125	15
189	265805	4.67	33	58	38.55144	-90.52818	0	97.67	2.33	0.6617	0.3383	87.47	0.25	17.5
189	265808	4.82	13	28	38.56788	-90.474116	0	94.87	5.13	0.7321	0.2679	84.92	0.5	29
189	265823	6.06	128	150	38.777057	-90.269632	45.9	54.1	0	0.2542	0.7458	49.67	0.1429	120
189	265831	1.49	65	130	38.661041	-90.304918	71.88	0	28.12	0.4667	0.5333	67.51	0.5085	120
189	265833	2.43	38	56	38.570885	-90.406569	0	87.22	12.78	0.722	0.278	83.52	0	20
189	265834	2.28	88	147	38.601339	-90.465249	13.07	80.39	6.54	0.6142	0.3858	76.99	0.0714	24
189	265838	1.61	60	90	38.794613	-90.309859	70.2	29.12	0.68	0.5962	0.4038	81.82	0.5385	23
189	265841	1.18	37	38	38.573007	-90.425329	0	100	0	0.7	0.3	89.8	0.4	27
