county	snf_id	worker_hours	nresid	beds	latitude	longitude	race_b	race_w	race_ns	sex_f	sex_m	avgage	dis	los
510	265351	4	92	145	38.587086	-90.271498	38.68	59.43	1.89	0.6549	0.3451	82.84	0.1429	21
510	265378	4.3684	83	168	38.640727	-90.264298	60	35.79	4.21	0.5	0.5	67.37	0.6579	89
510	265392	4.3077	56	156	38.653324	-90.277714	90.74	0	9.26	0.4	0.6	68.89	0.125	106.5
510	265427	4.9375	79	120	38.630533	-90.299019	49.55	39.64	10.81	0.4513	0.5487	65.98	0	30
510	265500	6.0952	128	141	38.639843	-90.252394	60.38	37.74	1.88	0.3571	0.6429	64.32	0.0714	65
510	265524	9.2308	240	320	38.66748	-90.25848	66.67	32.82	0.51	0.2708	0.7292	61.63	0.375	101
510	265585	4.963	134	208	38.715668	-90.23687	62.5	35.94	1.56	0.3519	0.6481	65.45	0.5593	95
510	265610	3.5714	50	100	38.625579	-90.234742	71.23	21.94	6.83	0.5552	0.4448	72	0.1667	24
510	265668	6.5455	72	130	38.567106	-90.237972	36.21	63.79	0	0.3374	0.6626	67.89	0.4615	72
510	265672	4.125	66	120	38.582692	-90.241806	57.14	34.52	8.34	0.4744	0.5256	72.68	0	30
510	265699	4.5	126	184	38.607417	-90.241555	68.84	30.5	0.66	0.5103	0.4897	71.96	0.4286	27.5
510	265717	5.125	82	120	38.645576	-90.229273	89.33	0	10.67	0.3884	0.6116	71.84	0.2339	80
510	265751	5.5833	67	130	38.561165	-90.242147	35.14	56.76	8.1	0.5208	0.4792	78.49	0	56.5
510	265817	2	24	90	38.64892	-90.219	55.71	15.71	28.58	0.3913	0.6087	74.05	0	120
510	265828	4.4615	58	77	38.587186	-90.266796	0	79.49	20.51	0.5424	0.4576	74.02	0.2857	54
510	26A484	4	12	14	38.563561	-90.240461	0	0	100	0.5733	0.4267	77.05	0.2339	65
