sp_id	latitude	longitude
505719965	37.7320240	-89.2466042
507970422	38.5038929	-90.6269247
507917822	38.5818029	-90.2929348
507970705	38.6642369	-90.6422177
507917949	38.5826829	-90.2893648
507927656	38.6483909	-90.3370108
507911614	38.6009729	-90.2496148
507958990	38.6135129	-90.5045847
507970295	38.6632429	-90.6251647
507917007	38.6519529	-90.2865948
507941340	38.6387929	-90.3912848
508175894	38.8046529	-90.6624047
507913422	38.6681229	-90.2613448
505792116	38.6902238	-90.0262279
507916291	38.5786929	-90.2781748
507911377	38.5755429	-90.2488848
507960071	38.6080929	-90.5174647
507967336	38.6259929	-90.5763047
505785634	38.5860929	-89.9256149
507916209	38.6509729	-90.2772048
507923584	38.6188129	-90.3188848
507912464	38.6622429	-90.2537148
507964327	38.6182129	-90.5510147
505808774	38.7162028	-89.9532949
507916279	38.5756729	-90.2779648
508173426	38.7207929	-90.7206347
507956645	38.5985769	-90.4898527
507914607	38.6034629	-90.2631948
507945542	38.6582829	-90.4059948
507936229	38.6554929	-90.3704348
507919009	38.6548229	-90.2963648
507930396	38.5556229	-90.3422648
507911034	38.6412129	-90.2500748
507911625	38.5884229	-90.2521348
507905647	38.6431269	-90.2037888
506784833	41.9750421	-87.9826451
507914905	38.6490729	-90.2693148
507944352	38.5649429	-90.4026948
507952727	38.5409869	-90.4579927
507939993	38.6736439	-90.3872318
507913872	38.6482629	-90.2698448
507951179	38.5540129	-90.4454647
507954000	38.4993829	-90.4709647
508199963	38.8127528	-90.2873748
507918914	38.5714529	-90.2962748
508200416	38.7046538	-90.2693228
508204491	38.8061328	-90.2192148
507925673	38.6484579	-90.3337268
507945268	38.5792629	-90.4066748
507931035	38.6362137	-90.3456550
508199513	38.7732428	-90.2799168
508184515	38.7771728	-90.4890287
507942250	38.5744729	-90.3930748
507928221	38.6374229	-90.3371848
507946304	38.5570529	-90.4110048
507912841	38.6381819	-90.2631768
507916309	38.5665229	-90.2776448
507912892	38.6346129	-90.2631618
507918639	38.6087629	-90.2888248
507924066	38.5621129	-90.3219648
507932671	38.5656179	-90.3539808
507965919	38.6124629	-90.5702947
507918789	38.5944029	-90.2975348
515973334	32.9313542	-97.0128634
507338677	32.1840821	-90.2712282
507914159	38.6098929	-90.2673848
507911336	38.5638829	-90.2498748
507953963	38.5802429	-90.4642847
508175727	38.7001429	-90.6785327
505792740	38.6873828	-90.0272749
507924141	38.5606029	-90.3234048
508180263	38.8020028	-90.5849747
508199729	38.7838628	-90.2763548
507915999	38.6281029	-90.2818948
507930208	38.6364329	-90.3444648
507922621	38.6112429	-90.3119148
507971368	38.5102829	-90.6351847
507908383	38.6413929	-90.2273048
508187076	38.7488829	-90.4649747
507918986	38.6556729	-90.2986548
507909265	38.6349629	-90.2374448
507917389	38.5212629	-90.2863448
505726156	37.7307940	-88.9268252
507957201	38.5323229	-90.4963247
507936851	38.5091209	-90.3760208
507951749	38.5154879	-90.4510928
507917442	38.5291729	-90.2853648
507951108	38.5528229	-90.4451447
507907288	38.6360729	-90.2218348
507925994	38.5278335	-90.3314047
508202387	38.7523236	-90.2391744
507925404	38.6571529	-90.3262348
507910574	38.6073729	-90.2407348
508188797	38.7028838	-90.4334541
508188931	38.7507128	-90.4341247
507969642	38.6660699	-90.6243387
507917399	38.5025229	-90.2859148
507911608	38.5895529	-90.2502848
508180486	38.7926428	-90.5860147
