ZIPCODE,SVI_HC_Disability,SVI_HC_English,SVI_HH_SingleParent,SVI_SS_Poverty,SVI_SS_No_HS,SVI_HT_MultiUnit,SVI_HT_Crowding,SVI_HT_MobileHomes,SVI_SS_HousingBurden,SVI_HT_NoVehicle,SVI_SS_No_Health_Ins
63005,6.08,0.52,5.25,4.01,0.87,4.19,0.36,0,27.51,1.07,2.17
63010,13.34,0.84,25.92,11.23,8.87,5.1,1.2,6.53,35.94,3.56,7.62
63022,9.34,1.38,12.43,4.54,2.88,5.79,0.62,0.16,49.23,3.83,2.68
63011,9.34,1.38,12.43,4.54,2.88,5.79,0.62,0.16,49.23,3.83,2.68
63012,9.33,0,28.9,6.05,4.41,0,2.49,4.27,27.73,0.58,3.84
63013,11.77,0,10.85,6.02,9.56,0,0,4.53,,0,0.9
63014,42.82,0,82.2,17.7,4.36,0,0,34.33,20.83,0,1.26
63015,12.8,0,47.04,16.51,12.91,2.08,1.95,16.85,40,4.54,12.31
63016,14,0.11,33.81,15.81,11.87,0.98,0.79,16.51,28.53,2.55,7.21
63017,7.66,0.89,11.78,5.4,1.86,13.01,1.24,0.5,44.42,3.71,2.53
63006,7.66,0.89,11.78,5.4,1.86,13.01,1.24,0.5,44.42,3.71,2.53
63019,16.42,0,30.52,13.65,7.86,5.28,1.76,0,48.85,10.5,7.13
63020,16.87,0.18,35.66,18.85,13.09,1.43,1.11,5.57,43.62,3.95,8.82
63024,8.35,0.92,14.34,6.4,2.71,8.21,1.14,0.13,43.15,1.85,5.5
63021,8.35,0.92,14.34,6.4,2.71,8.21,1.14,0.13,43.15,1.85,5.5
63023,16.06,0,34.14,22.97,19.86,0,0,14.6,81.53,1.55,8.14
63025,9.39,0,8.87,2.41,3.22,5.96,0.6,1.3,21.65,3.66,0.99
63026,13.52,0.51,19.81,10.71,8.29,3.7,2.37,12.64,33.56,3.96,5.73
63047,16.89,0.15,22.27,14.45,9.35,3.98,0.82,10.36,32.28,4.99,8.75
63028,16.89,0.15,22.27,14.45,9.35,3.98,0.82,10.36,32.28,4.99,8.75
63030,19.82,0,0,46.55,23.4,0,0,14.04,100,11.43,12.91
63031,11.12,0.98,38.57,15.17,8.35,5.78,1.57,0.3,51.11,3.91,7.45
63033,14.76,0.74,44.44,17.52,7.99,13.61,0.69,0.28,52.53,10.16,7.68
63032,14.76,0.74,44.44,17.52,7.99,13.61,0.69,0.28,52.53,10.16,7.68
63034,13.63,0.46,32.76,8.03,5.28,0,0.98,0.69,34.91,0.74,3.67
63036,12.59,0,0,8.08,9.26,0,0,49.28,25.69,0,0.94
63037,14.55,0,29.37,16.55,14.69,2.6,0.41,8.92,16.67,2.38,6.73
63038,6.03,0.58,10.65,4.22,1.78,0.43,0,0.61,28.92,0.86,2.39
63039,8.36,0,100,31.79,14.35,0,0,9.74,0,5.17,15.35
63040,6.51,0.54,21.8,3.52,0.97,10.52,0.6,0,40.28,1.18,1.24
63041,11.7,0,58.06,9.05,18.51,0,3.33,9.24,100,2.22,27.15
63042,12.11,1.69,39.77,18.48,6.97,15.87,0.81,0.37,49.85,5.61,10.19
63043,11.65,1.84,25.58,9.61,5.43,14.72,0.81,0.09,19.76,3.28,3.75
63044,14.74,3.77,32.54,15.59,12.4,9.35,3.79,0.91,30.86,7.5,9.18
63045,,0,,,,,,,,,
63048,12.29,0,31.45,16.28,6.94,10.49,1.38,0.83,70.89,7.49,10.67
63049,11.88,0.46,30.1,14.39,9.1,3.66,1.45,7.95,47.47,3.92,7.69
63066,12.04,0.27,20.45,14.29,8.92,1.05,0.5,9.53,34.8,0.62,10.65
63065,12.04,0.27,20.45,14.29,8.92,1.05,0.5,9.53,34.8,0.62,10.65
63050,12.04,0.27,20.45,14.29,8.92,1.05,0.5,9.53,34.8,0.62,10.65
63051,12.49,0.37,34.43,12.33,14.73,0.39,0.37,24.24,36.39,2.83,9.62
63052,10.99,0.25,20.96,8.71,7.55,5.12,0.87,5.93,51.08,2.47,7.84
63053,26.32,0,0,51.32,9.23,0,0,0,33.33,0,31.58
63055,9.91,0,17.56,6.66,11.79,0,0,10.33,38.98,4.51,5.06
